image_path,text,label
data\real_fake\real\633.jpg,Cat’s blue eyes just… got me. Life’s quiet moments win again. #Caturday,1
data\real_fake\real\241157u9ub6a1.jpg,"Snow falls in blue hush, the church holds still. Winter’s quiet breath. #WinterNight",0
data\fakeV2\fake-v2\13139.png,"Lost in the spiral of time, where stone dreams in curves. Architecture isn’t built—it’s breathed. #DreamArchitecture",0
data\real_fake\real\685.jpg,"Chickens just went full neon glow-up. Nature’s wild side, for sure. #Surreal",0
data\fakeV2\fake-v2\10411.jpg,Light cuts through the smoke. A silent prayer in neon. #SacredLight,0
data\fakeV2\fake-v2\12250.jpg,Mona Lisa watches the slow fade of light. Her smile holds the world in breath. #Timeless #Silent,0
data\real_fake\real\2531.jpg,"Bus rolls past, trees sway in the breeze. Morning air, routine moments—feeling so good.",0
data\archive\real\1113052145740201985.jpg,HERE'S THAT ATTENTION YOU ORDERED,1
data\archive\real\1108016112531316737.jpg,Volume,1
data\real_fake\real\439z8sm1up5a1.jpg,Color bleeds through the cracks. Chaos wears a crown of roses.,1
data\archive\real\1117409688285356032.jpg,TAYLOR NO SIJWKAMSJAKAKS 4.26 122 33 1 days hours minutes Creator not available,1
data\archive\real\1062471223383252992.jpg,TL TW TL DW DW DW Tw TL DL bL TL TW TL TL DL DL DW DW 10 DL Q I DL CİUINİT TL TW DL TL DL DW EXILES 18 TL TL CUNT is not a valid word 4 F O S PLAY SWAP RECALI MORE PASS,1
data\fakeV2\fake-v2\10378.jpg,"Blood-red glow, ancient symbols. Stillness holds the throne—every scar a whispered oath. #MythicPresence",0
data\real_fake\real\1573.jpg,"Walked the bridge over the canal. Water still, trees bare—just me and the quiet. 🌳",1
data\real_fake\real\96.jpg,"Vibrant chaos on black canvas. Some colors scream, others whisper: ""I am here."" #AbstractHeart",0
data\real_fake\real\2500.jpg,"Sitting on this bench, watching the light shift. Peace in the little things. #QuietMoments",1
data\fakeV2\fake-v2\14449.png,Dusk paints silk and roses. A queen’s quiet glance holds the weight of time.,0
